entropy_cbd,entropy_effective,entropy_uniform,kl_cbd_vs_uniform,kl_effective_vs_uniform,kl_effective_vs_cbd,stat_dist_effective_vs_uniform,stat_dist_effective_vs_cbd,stat_dist_cbd_vs_uniform,empirical_p_value,experiment_id,suite,fdr_q_value,family_scope,is_safe,status,n,m,H_Sm_prior,H_Sm_posterior,MI
2.0306390622295662,2.584887519800889,2.584962500721156,0.5543234384523141,7.49809202668523e-05,6.3448107703049565,0.0037733333333333507,0.37778000000000006,0.375,0.5,Exp_A,lwe,1.0,leakage_global,True,PASS,,,,,
,,,,,,,,,1.0,Exp_B,lwe,1.0,leakage_global,True,PASS,,,,,
,,,,,,,,,1.0,Exp_C,lwe,1.0,leakage_global,True,PASS,,,,,
,,,,,,,,,1.0,Exp_D,lwe,1.0,leakage_global,True,PASS,,,,,
,,,,,,,,,0.5,Exp_E,lwe,1.0,leakage_global,True,PASS,,,,,
,,,,,,,,,0.5,Exp_F,lwe,1.0,leakage_global,True,PASS,,,,,
,,,,,,,,,0.004,Exp_G,lwe,0.0184,leakage_global,False,WARNING,,,,,
,,,,,,,,,1.0,Exp_H,lwe,1.0,leakage_global,True,PASS,,,,,
,,,,,,,,,1.0,Exp_I,lwe,1.0,leakage_global,True,PASS,,,,,
,,,,,,,,,1.0,Exp_J,lwe,1.0,leakage_global,True,PASS,,,,,
,,,,,,,,,0.5,Exp_K,lwe,1.0,leakage_global,True,PASS,,,,,
,,,,,,,,,1.0,Exp_L,lwe,1.0,leakage_global,True,PASS,,,,,
,,,,,,,,,1.0,Exp_M,lwe,1.0,leakage_global,True,PASS,,,,,
,,,,,,,,,1.0,Exp_N,lwe,1.0,leakage_global,True,PASS,,,,,
,,,,,,,,,0.9972818233019519,Exp_O,lwe,1.0,leakage_global,True,PASS,2.0,6.0,5.169925001442312,5.167206824744264,0.0027181766980480405
,,,,,,,,,0.7745518085042679,Exp_P,lwe,1.0,leakage_global,True,PASS,,,,,
